"lako1"	"lako2"	"lako3"	"lako4"	"lako6"
"LIAS"	33	111	69	82	3
"UGDH"	206	468	643	346	8
"UGDH-AS1"	2	3	3	4	1
"AC021148.2"	1	2	0	4	0
"SMIM14"	82	174	207	262	14
"AC108471.3"	2	3	0	1	0
"AC108471.2"	8	2	0	6	1
"UBE2K"	111	274	322	421	14
"PDS5A"	95	180	189	179	4
"N4BP2"	35	66	72	82	5
"AC095057.3"	2	3	0	4	0
"RHOH"	0	1	0	1	0
"RBM47"	49	79	136	163	8
"AC131953.2"	0	0	0	1	0
"NSUN7"	6	11	13	14	4
"APBB2"	12	20	22	26	4
"UCHL1"	3	6	3	1	0
"LIMCH1"	8	26	37	46	2
"PHOX2B"	0	0	0	0	0
"LINC00682"	0	0	0	0	0
"TMEM33"	58	144	145	166	7
"DCAF4L1"	2	2	4	10	0
"AC106052.1"	0	0	0	0	0
"SLC30A9"	32	63	48	104	2
"SHISA3"	0	0	0	0	0
"ATP8A1"	3	7	4	3	0
"LINC02383"	0	0	0	1	0
"AC080132.1"	7	0	0	2	0
"AC114757.1"	0	0	0	0	0
"KCTD8"	20	22	24	18	1
"YIPF7"	0	0	1	1	0
"GUF1"	18	29	19	68	1
"GNPDA2"	40	66	60	93	5
"AC096586.2"	0	1	1	1	0
"AC096586.1"	0	1	6	3	0
"AC104072.1"	0	0	0	0	0
"GABRA2"	4	15	8	5	0
"AC095060.1"	0	0	0	0	0
"GABRA4"	0	0	0	0	0
"GABRB1"	0	1	0	0	0
"AC107398.3"	0	0	0	0	0
"COMMD8"	40	82	64	131	8
"AC107398.4"	0	0	0	0	0
"AC107398.5"	0	0	1	0	0
"ATP10D"	64	105	84	155	5
"CORIN"	0	0	3	0	0
"AC107068.2"	0	0	0	0	0
"AC107068.1"	1	0	1	7	1
"NFXL1"	22	24	30	35	4
"NIPAL1"	40	74	165	85	2
"CNGA1"	10	7	4	22	0
"TXK"	2	3	4	1	0
"TEC"	8	13	14	11	1
"SLAIN2"	125	249	264	220	5
"SLC10A4"	1	1	2	0	0
"FRYL"	67	139	204	136	15
"OCIAD1"	187	454	388	653	32
"OCIAD2"	174	366	375	476	25
"CWH43"	0	0	0	1	0
"DCUN1D4"	41	108	96	76	2
"AC027271.1"	3	2	3	3	0
"LRRC66"	1	1	0	0	0
"SGCB"	45	115	44	56	1
"SPATA18"	7	13	6	24	0
"USP46"	45	113	88	103	7
"USP46-AS1"	8	9	10	11	1
"AC104066.3"	0	0	0	0	0
"LINC01618"	0	8	2	7	0
"DANCR"	453	974	602	769	18
"ERVMER34-1"	11	32	18	22	3
"RASL11B"	1	1	2	1	0
"SCFD2"	15	16	13	18	1
"FIP1L1"	97	138	134	148	13
"LNX1"	17	38	33	38	1
"LNX1-AS1"	0	0	0	0	0
"LNX1-AS2"	0	0	0	0	0
"AC124017.1"	0	0	0	0	0
"AC110792.3"	0	0	1	0	0
"CHIC2"	117	209	221	191	5
"AC110792.2"	2	2	0	0	0
"AC110792.4"	0	1	0	0	0
"PDGFRA"	8	6	7	18	1
"LINC02260"	0	0	0	0	0
"KIT"	14	32	40	80	6
"KDR"	9	3	0	4	0
"SRD5A3"	24	53	45	62	1
"SRD5A3-AS1"	0	0	2	2	0
"AC069200.1"	0	0	1	1	0
"TMEM165"	275	580	538	575	26
"CLOCK"	62	113	124	175	3
"AC024243.1"	0	0	0	3	0
"PDCL2"	0	0	0	1	0
"NMU"	18	19	19	51	1
"EXOC1"	69	99	104	126	5
"AC110611.1"	0	0	1	0	0
"AC110611.2"	0	0	0	0	0
"CEP135"	11	21	27	24	1
"KIAA1211"	0	0	0	0	0
"AASDH"	35	71	60	99	1
"AC068620.1"	4	6	3	4	1
"PPAT"	33	63	55	37	4
"AC068620.2"	3	2	0	3	0
"PAICS"	166	209	229	233	10
"SRP72"	260	354	335	420	19
"ARL9"	21	14	19	38	4
"THEGL"	0	3	1	0	0
"HOPX"	700	1329	920	2013	136
"SPINK2"	29	36	38	41	3
"REST"	134	317	259	250	17
"AC069307.1"	0	0	1	0	0
"NOA1"	30	69	65	47	5
"POLR2B"	119	205	245	246	14
"IGFBP7"	857	1023	1629	3221	187
"IGFBP7-AS1"	0	2	2	2	1
"AC111197.1"	0	0	0	0	0
"LINC02380"	0	0	0	0	0
"AC013724.1"	1	1	0	0	0
"ADGRL3"	2	0	1	1	0
"AC020741.1"	1	1	0	3	0
"EPHA5"	1	1	0	0	0
"EPHA5-AS1"	1	3	1	1	0
"AC104806.2"	0	2	4	5	0
"CENPC"	123	289	175	198	12
"UBA6"	109	207	226	242	13
"UBA6-AS1"	18	13	28	23	3
"GNRHR"	1	0	0	0	0
"TMPRSS11D"	184	179	258	267	8
"TMPRSS11A"	9	1	7	1	0
"TMPRSS11F"	2	2	1	3	0
"TMPRSS11B"	0	1	0	0	0
"YTHDC1"	219	452	474	487	17
"TMPRSS11E"	0	0	0	0	0
"AC021146.12"	0	0	0	0	0
"UGT2A1"	1	0	0	1	0
"SULT1B1"	0	0	0	0	0
"SULT1E1"	22	220	93	141	0
"STATH"	9	0	0	0	0
"FDCSP"	1	0	0	493	0
"SMR3A"	0	2	0	16	0
"SMR3B"	0	0	1	3	0
"OPRPN"	18	2	0	35	0
"MUC7"	0	1	2	1	0
"AMTN"	1	0	0	941	0
"JCHAIN"	0	0	0	1	1
"UTP3"	85	171	138	99	1
"AC009570.1"	2	7	2	14	0
"RUFY3"	99	198	228	235	7
"GRSF1"	55	102	133	142	6
"MOB1B"	30	61	58	52	2
"DCK"	18	33	38	47	2
"SLC4A4"	3	14	29	18	0
"ADAMTS3"	1	0	3	3	1
"COX18"	6	20	19	32	1
"ANKRD17"	91	192	188	209	11
"AC053527.2"	0	5	4	1	0
"ALB"	1	0	3	1	0
"AFP"	2	10	3	14	2
"RASSF6"	158	521	474	600	33
"CXCL8"	3188	2384	4690	1546	3
"CXCL6"	34	52	47	10	3
"PF4V1"	4	8	5	7	1
"CXCL1"	2467	3372	4504	1635	103
"CXCL5"	0	0	0	1	0
"CXCL3"	985	382	896	446	8
"CXCL2"	1876	1962	3014	4212	24
"MTHFD2L"	112	162	149	158	4
"AC093677.2"	0	6	3	10	0
"EPGN"	23	17	43	40	2
"EREG"	10	2	34	18	0
"AREG"	1656	1236	4037	1631	12
"BTC"	8	8	5	8	0
"PARM1"	6	4	4	5	0
"LINC02562"	41	68	80	101	3
"RCHY1"	56	111	100	75	4
"THAP6"	19	34	39	52	5
"ODAPH"	1	0	0	0	0
"CDKL2"	1	2	3	0	0
"G3BP2"	207	287	334	352	13
"USO1"	71	144	170	181	14
"AC110615.1"	0	0	1	1	0
"PPEF2"	0	0	0	0	0
"NAAA"	29	26	22	21	3
"SDAD1"	61	136	100	126	11
"CXCL9"	1	0	0	203	0
"ART3"	1	1	0	2	0
"CXCL10"	1	0	0	211	0
"CXCL11"	1	1	0	28	0
"NUP54"	91	201	220	175	7
"SCARB2"	134	222	249	529	13
"FAM47E"	1	9	4	8	1
"AC034139.1"	0	0	0	0	0
"STBD1"	11	11	15	14	0
"CCDC158"	0	0	0	2	0
"SHROOM3"	0	3	8	8	3
"AC107072.2"	0	1	0	0	0
"SOWAHB"	1	0	2	0	0
"SEPTIN11"	37	60	55	46	5
"CCNI"	866	2055	1872	1945	58
"CCNG2"	43	116	132	134	2
"CXCL13"	0	0	0	0	0
"CNOT6L"	55	150	108	231	5
"MRPL1"	25	105	83	108	4
"FRAS1"	7	14	9	11	1
"ANXA3"	32	23	52	16	9
"LINC01094"	1	0	2	2	0
"AC098818.2"	5	8	9	16	0
"BMP2K"	16	23	30	28	3
"PAQR3"	32	64	39	62	0
"LINC01088"	0	2	2	3	0
"LINC00989"	0	0	0	1	0
"ANTXR2"	0	4	2	4	1
"AC021127.1"	0	0	0	0	0
"PRDM8"	0	0	0	1	0
"CFAP299"	0	1	1	0	0
"BMP3"	9	20	20	13	2
"PRKG2"	0	0	1	1	0
"RASGEF1B"	87	135	171	197	7
"AC124016.2"	7	21	34	23	0
"HNRNPD"	358	715	748	900	33
"AC124016.1"	12	29	24	26	0
"HNRNPDL"	613	1075	1447	1591	68
"ENOPH1"	58	110	91	127	5
"TMEM150C"	6	19	21	31	2
"LINC00575"	1	1	0	0	0
"SCD5"	34	96	93	168	7
"SEC31A"	154	309	336	452	17
"THAP9-AS1"	147	188	233	388	8
"THAP9"	10	8	13	14	0
"LIN54"	13	25	37	34	3
"COPS4"	54	139	141	175	6
"AC073840.1"	0	2	1	0	0
"PLAC8"	1	0	0	1	0
"AC114781.2"	0	0	0	0	0
"COQ2"	12	39	18	41	4
"HPSE"	14	27	38	22	0
"HELQ"	16	44	46	36	2
"MRPS18C"	138	338	267	417	12
"ABRAXAS1"	24	66	39	46	0
"GPAT3"	53	83	102	22	0
"AC079160.1"	0	0	2	2	0
"CDS1"	25	60	65	85	1
"WDFY3"	21	55	66	74	4
"WDFY3-AS1"	1	0	0	1	0
"WDFY3-AS2"	17	20	21	13	2
"AC108021.1"	0	0	0	0	0
"ARHGAP24"	57	224	136	103	12
"MAPK10"	9	61	59	53	2
"PTPN13"	74	194	241	312	14
"SLC10A6"	0	0	0	0	0
"C4orf36"	4	10	6	6	0
"AC093827.4"	6	21	13	19	2
"AFF1"	42	153	137	199	4
"KLHL8"	14	31	45	56	4
"HSD17B13"	0	1	1	2	0
"HSD17B11"	16	72	49	59	0
"NUDT9"	40	91	46	120	5
"AC112250.2"	0	0	0	0	0
"SPARCL1"	211	477	537	1614	8
"DSPP"	0	1	5	5	0
"SPP1"	11	3	5	30	0
"PKD2"	16	31	26	49	0
"ABCG2"	0	0	3	1	0
"PPM1K"	30	33	78	87	3
"PPM1K-DT"	0	0	0	2	0
"HERC6"	8	6	12	24	0
"HERC5"	18	22	28	28	0
"PYURF"	169	453	352	649	15
"PIGY-DT"	2	4	6	7	0
"HERC3"	20	49	65	79	0
"NAP1L5"	8	16	9	10	0
"FAM13A-AS1"	4	11	4	9	0
"FAM13A"	37	87	82	110	4
"TIGD2"	7	17	12	16	1
"AC104785.1"	0	0	0	0	0
"GPRIN3"	5	2	3	2	0
"AC093866.1"	0	5	1	0	0
"SNCA"	81	326	198	173	12
"AC097478.2"	0	0	0	0	0
"SNCA-AS1"	0	0	0	0	0
"MMRN1"	2	2	1	2	0
"CCSER1"	7	17	23	18	2
"GRID2"	13	15	12	20	2
"AC110800.1"	0	0	0	0	0
"SMARCAD1"	30	50	41	69	4
"HPGDS"	0	0	0	0	0
"PDLIM5"	345	1250	1469	713	17
"BMPR1B-DT"	3	6	14	3	0
"BMPR1B"	27	20	39	43	3
"UNC5C"	0	0	0	0	0
"AC106881.1"	0	0	0	0	0
"STPG2"	1	5	0	0	0
"AC019077.1"	0	0	1	3	0
"RAP1GDS1"	30	46	77	69	2
"TSPAN5"	115	122	187	143	9
"AC114811.2"	6	7	9	6	2
"EIF4E"	297	464	656	462	13
"AC019131.3"	0	0	0	0	0
"METAP1"	59	112	137	120	9
"AC019131.2"	0	0	0	0	0
"ADH5"	151	374	297	436	42
"AP002026.1"	6	9	11	12	0
"ADH4"	0	0	0	0	0
"ADH1B"	12	87	4	20	0
"ADH1C"	2	6	2	0	0
"ADH7"	32	72	50	93	10
"C4orf17"	0	0	0	0	0
"TRMT10A"	10	26	16	29	2
"MTTP"	0	0	3	0	0
"DAPP1"	107	216	473	354	11
"LAMTOR3"	135	230	291	287	6
"DNAJB14"	120	293	263	377	11
"H2AFZ"	1140	2457	3186	3175	41
"AC097460.1"	2	1	2	5	0
"DDIT4L"	13	5	3	11	0
"EMCN"	3	2	1	7	0
"PPP3CA"	108	189	359	371	15
"AP001816.1"	21	39	44	40	2
"BANK1"	4	3	6	3	0
"AC084277.1"	2	5	0	3	0
"SLC39A8"	15	10	24	27	0
"AC098487.1"	11	24	15	18	1
"AF213884.3"	1	6	2	11	0
"NFKB1"	309	456	1055	693	5
"MANBA"	20	27	36	55	2
"UBE2D3"	1025	1791	2054	1996	59
"AC018797.3"	3	6	5	2	0
"UBE2D3-AS1"	3	14	6	18	0
"CISD2"	100	206	169	295	14
"SLC9B1"	9	5	7	4	0
"SLC9B2"	17	33	10	13	0
"BDH2"	99	243	248	316	7
"CENPE"	8	9	8	15	1
"LINC02428"	0	0	0	0	0
"AC105460.1"	4	0	2	1	0
"TACR3"	0	0	0	0	0
"LINC02503"	0	0	0	1	0
"CXXC4"	2	9	5	10	2
"CXXC4-AS1"	0	0	0	0	0
"AC004053.1"	0	0	0	0	0
"AC004069.1"	1	1	4	3	0
"TET2"	43	97	93	97	6
"TET2-AS1"	0	0	0	1	0
"PPA2"	84	170	178	304	17
"ARHGEF38"	0	0	0	1	0
"ARHGEF38-IT1"	0	0	0	0	0
"INTS12"	32	40	43	50	5
"GSTCD"	10	39	46	36	0
"AC008243.1"	0	1	1	0	0
"NPNT"	2	5	5	6	4
"AC109361.1"	1	0	0	0	0
"TBCK"	15	38	21	27	3
"AIMP1"	223	397	388	525	14
"AC092445.1"	0	1	1	0	0
"DKK2"	9	13	4	13	0
"PAPSS1"	34	93	118	170	8
"SGMS2"	146	278	572	243	0
"AC096564.1"	9	24	18	16	0
"CYP2U1"	5	15	21	10	1
"AC096564.2"	3	15	3	16	0
"HADH"	29	113	120	132	12
"LEF1"	5	2	7	9	0
"LEF1-AS1"	1	2	1	2	0
"RPL34-AS1"	2	2	2	3	0
"RPL34"	13461	36447	39357	47231	918
"OSTC"	184	297	341	505	18
"AC107071.1"	0	0	1	0	0
"ETNPPL"	0	1	0	0	0
"COL25A1"	5	9	10	1	0
"SEC24B-AS1"	4	10	8	14	0
"SEC24B"	41	78	84	80	7
"MCUB"	57	92	86	136	7
"CASP6"	23	53	46	95	4
"AC004067.1"	0	0	0	0	0
"PLA2G12A"	81	150	99	188	6
"CFI"	92	130	108	357	13
"AC126283.1"	0	3	1	2	0
"GAR1"	90	163	171	155	16
"RRH"	2	3	3	4	0
"LRIT3"	0	0	0	1	0
"EGF"	12	9	26	45	0
"ELOVL6"	8	19	24	31	4
"ENPEP"	0	0	0	0	0
"AC098798.1"	0	0	0	1	0
"PANCR"	0	0	0	0	0
"PITX2"	10	6	0	7	0
"LINC01438"	0	0	0	0	0
"FAM241A"	128	275	321	277	5
"AC109347.1"	4	6	1	11	0
"AP1AR"	55	113	114	110	2
"AC109347.2"	0	1	2	3	0
"TIFA"	50	115	131	157	9
"ALPK1"	17	46	53	75	3
"ZGRF1"	2	4	8	5	0
"LARP7"	106	222	192	352	18
"ANK2"	1	3	1	1	0
"CAMK2D"	60	68	77	52	2
"ARSJ"	12	22	37	24	0
"UGT8"	1	1	4	4	0
"NDST4"	0	0	0	0	0
"MTRNR2L13"	0	0	0	0	0
"AC093765.5"	0	0	0	0	0
"AC093765.3"	0	0	0	0	0
"TRAM1L1"	3	4	5	4	0
"NDST3"	1	0	1	0	1
"SNHG8"	1631	2286	1649	3036	63
"PRSS12"	2	2	4	5	0
"METTL14-DT"	0	1	1	1	0
"METTL14"	28	52	58	95	3
"SEC24D"	41	66	87	107	5
"SYNPO2"	104	322	306	246	18
"MYOZ2"	0	0	3	0	0
"USP53"	360	348	539	403	14
"C4orf3"	572	1051	794	1619	37
"AC093752.3"	0	3	1	1	0
"AC093752.2"	0	0	0	0	0
"PDE5A"	5	14	9	11	0
"AC080089.2"	0	0	0	0	0
"MAD2L1"	6	16	18	28	0
"AC073475.1"	1	2	3	3	1
"AC025741.1"	0	0	0	0	0
"PRDM5"	9	13	13	19	1
"NDNF"	20	42	41	29	2
"AC105254.1"	0	1	0	1	0
"TNIP3"	0	0	0	0	0
"QRFPR"	0	1	0	1	0
"ANXA5"	647	731	830	506	27
"TMEM155"	0	4	1	1	0
"EXOSC9"	41	63	39	80	3
"CCNA2"	1	1	1	3	0
"BBS7"	18	37	20	34	5
"TRPC3"	0	0	0	0	0
"KIAA1109"	33	72	112	126	5
"IL2"	0	0	0	0	0
"BBS12"	3	6	5	8	0
"FGF2"	14	13	11	21	0
"AC021205.3"	1	3	1	4	0
"NUDT6"	8	26	18	27	1
"SPATA5"	19	41	44	32	1
"AC026402.2"	0	0	0	0	0
"SPRY1"	34	79	97	129	4
"LINC01091"	0	3	2	0	0
"AC108075.1"	0	0	0	0	0
"ANKRD50"	20	43	43	32	2
"FAT4"	1	4	6	5	0
"AC097528.1"	0	0	0	0	0
"AC093772.1"	0	0	0	0	0
"AC093772.2"	0	0	0	0	0
"INTU"	16	32	33	57	1
"HSPA4L"	71	139	197	178	10
"AC093591.2"	0	0	3	1	0
"PLK4"	1	2	3	2	0
"MFSD8"	34	59	51	94	3
"ABHD18"	12	30	22	45	1
"LARP1B"	54	109	140	138	8
"PGRMC2"	59	135	135	225	8
"LINC02615"	3	7	9	11	0
"AC110609.1"	0	1	0	0	0
"AC078850.1"	0	0	0	0	0
"AC078850.2"	0	0	0	0	0
"JADE1"	15	60	63	109	5
"SCLT1"	17	52	44	37	3
"C4orf33"	13	31	53	45	4
"SNHG27"	0	1	1	0	0
"AC096711.2"	0	0	1	1	1
"AC105383.1"	0	0	0	0	0
"PCDH10"	3	2	7	9	0
"AC015631.1"	0	0	0	0	0
"PABPC4L"	1	2	3	5	0
"LINC02511"	0	0	0	0	0
"PCDH18"	2	2	0	1	1
"LINC02172"	0	2	0	0	0
"SLC7A11-AS1"	0	0	0	0	0
"SLC7A11"	4	9	9	15	1
"LINC00499"	0	0	0	0	0
"NOCT"	13	24	24	13	0
"ELF2"	146	462	448	450	16
"MGARP"	150	229	341	540	14
"NDUFC1"	570	1347	966	1463	67
"NAA15"	159	267	285	201	14
"AC097376.3"	54	148	136	170	5
"RAB33B"	26	38	43	55	0
"SETD7"	28	81	73	117	5
"AC112236.2"	3	0	3	5	0
"AC112236.3"	0	4	4	0	0
"AC112236.1"	1	2	4	0	0
"MGST2"	220	417	422	502	32
"MAML3"	14	32	29	42	2
"AC108053.1"	0	0	1	0	0
"SCOC"	144	390	287	430	17
"SCOC-AS1"	19	21	9	21	1
"CLGN"	20	52	24	33	1
"ELMOD2"	17	56	42	74	6
"UCP1"	1	0	1	1	0
"TBC1D9"	23	74	47	87	10
"AC096733.2"	3	4	7	5	0
"RNF150"	4	15	12	16	2
"ZNF330"	81	169	157	126	7
"LINC02432"	0	0	0	0	0
"AC097504.2"	0	0	0	0	0
"IL15"	6	7	1	14	1
"INPP4B"	12	45	59	43	5
"AC139720.1"	0	1	1	0	0
"AC104596.1"	0	3	1	1	0
"USP38"	32	54	134	100	0
"GAB1"	27	40	64	69	3
"AC097658.3"	0	0	0	1	0
"SMARCA5-AS1"	0	1	3	1	0
"SMARCA5"	118	226	215	252	9
"AC107223.1"	1	6	4	1	0
"FREM3"	0	0	0	0	0
"GYPE"	0	2	0	0	0
"GYPB"	0	16	0	1	0
"AC093890.2"	0	0	0	0	0
"HHIP-AS1"	1	5	0	4	0
"HHIP"	1	0	0	0	0
"ANAPC10"	56	98	105	139	11
"ABCE1"	163	304	355	241	6
"OTUD4"	72	153	342	117	6
"SMAD1"	44	129	113	145	8
"MMAA"	9	16	14	31	0
"C4orf51"	0	0	0	0	0
"ZNF827"	14	64	81	76	6
"LSM6"	157	268	258	348	15
"REELD1"	1	1	2	5	0
"SLC10A7"	7	24	12	26	3
"TTC29"	0	0	0	1	0
"AC097450.1"	0	0	0	0	0
"EDNRA"	11	15	14	6	2
"TMEM184C"	20	29	22	41	4
"PRMT9"	13	24	15	47	2
"ARHGAP10"	80	217	140	173	12
"NR3C2"	5	15	11	22	2
"AC002460.2"	2	2	3	3	0
"DCLK2"	2	3	1	5	0
"LRBA"	21	64	69	77	8
"AC110813.1"	0	0	0	0	0
"MAB21L2"	0	0	0	0	0
"RPS3A"	9654	27772	29408	30468	596
"SH3D19"	45	78	95	90	8
"AC095055.1"	7	7	20	33	0
"AC104819.3"	1	1	2	0	0
"FAM160A1-DT"	0	3	2	0	0
"FAM160A1"	59	59	111	45	2
"GATB"	13	26	20	28	1
"AC092611.1"	2	2	18	7	0
"AC097375.3"	0	0	0	1	0
"LINC02273"	0	0	0	0	0
"FBXW7"	105	260	383	235	14
"AC023424.3"	0	2	5	4	1
"MIR4453HG"	3	12	8	9	0
"TMEM154"	37	109	100	139	6
"TIGD4"	0	1	0	2	1
"ARFIP1"	63	91	77	113	8
"AC093599.2"	8	17	6	16	0
"FHDC1"	33	77	41	140	5
"AC093599.1"	0	0	0	0	0
"TRIM2"	61	92	109	258	8
"MND1"	0	1	3	4	0
"TMEM131L"	20	15	24	27	3
"AC106865.2"	0	1	0	0	0
"TLR2"	3	7	10	18	2
"RNF175"	1	8	1	4	0
"SFRP2"	0	0	1	0	0
"AC079298.3"	0	0	0	0	0
"DCHS2"	0	0	1	1	0
"PLRG1"	100	155	170	156	6
"LRAT"	4	2	27	16	0
"RBM46"	2	1	1	0	0
"MAP9"	14	25	18	39	3
"AC107208.1"	1	0	0	1	0
"GUCY1A1"	3	1	0	3	0
"AC104083.1"	2	1	1	3	0
"GUCY1B1"	1	3	1	2	0
"CTSO"	20	39	62	102	0
"PDGFC"	54	148	157	119	5
"GLRB"	1	0	0	0	0
"GRIA2"	0	0	0	0	0
"AC084740.1"	0	3	0	0	0
"GASK1B"	4	3	3	6	2
"FAM198B-AS1"	0	2	2	1	0
"TMEM144"	11	25	26	33	2
"AC098679.5"	0	0	2	0	0
"C4orf46"	5	21	33	34	2
"ETFDH"	40	135	79	91	4
"PPID"	33	47	45	54	4
"FNIP2"	65	114	224	194	2
"C4orf45"	0	2	0	0	0
"RAPGEF2"	21	102	129	54	3
"FSTL5"	0	0	0	0	0
"NAF1"	57	92	97	55	2
"NPY1R"	0	0	1	0	0
"TMA16"	87	132	134	157	8
"MARCH1"	0	0	0	0	0
"AC093788.1"	1	0	2	0	0
"SMIM31"	0	0	0	0	0
"APELA"	0	0	0	0	0
"TRIM61"	0	0	0	0	1
"FAM218A"	1	1	0	1	0
"TMEM192"	16	46	26	76	1
"KLHL2"	11	16	16	26	1
"MSMO1"	79	98	72	121	2
"CPE"	58	78	33	190	13
"TLL1"	0	1	0	0	0
"SPOCK3"	1	0	0	0	0
"ANXA10"	0	0	0	0	1
"AC068989.1"	1	0	0	0	0
"DDX60"	11	16	21	34	3
"DDX60L"	10	12	10	17	1
"PALLD"	86	277	609	241	17
"CBR4"	41	73	91	83	8
"SH3RF1"	127	230	210	272	15
"AC096741.1"	0	2	1	1	0
"NEK1"	27	44	41	48	1
"AC084724.1"	0	0	1	0	1
"CLCN3"	34	112	89	156	6
"HPF1"	54	123	95	186	11
"LINC02275"	0	0	0	0	0
"AC084866.2"	0	0	0	0	0
"MFAP3L"	5	7	7	16	0
"AADAT"	4	5	9	9	1
"LINC01612"	0	0	0	0	0
"GALNTL6"	1	0	0	2	0
"AC105285.1"	0	3	1	3	0
"GALNT7"	24	30	38	55	6
"HMGB2"	180	436	356	406	8
"AC097534.2"	22	53	52	62	1
"SAP30"	52	88	116	195	0
"SCRG1"	22	77	785	1234	0
"AC093849.4"	1	1	7	7	0
"AC093849.3"	0	2	0	0	0
"AC093849.1"	0	0	0	0	0
"AC093849.2"	0	0	0	0	0
"HAND2"	0	0	0	0	0
"HAND2-AS1"	0	0	0	1	0
"LINC02268"	1	0	0	0	0
"AC012055.1"	0	0	0	0	0
"FBXO8"	29	78	55	99	3
"CEP44"	25	64	39	72	1
"HPGD"	39	41	18	78	1
"AC096751.2"	0	5	0	0	0
"GLRA3"	0	0	0	0	0
"GPM6A"	35	36	57	111	1
"WDR17"	4	10	13	8	0
"SPATA4"	0	0	0	0	0
"ASB5"	0	0	0	0	0
"SPCS3"	142	236	199	327	10
"VEGFC"	46	103	72	55	4
"NEIL3"	1	3	1	4	0
"AGA"	41	59	49	106	4
"AC078881.1"	3	5	4	5	0
"LINC01098"	0	0	0	0	0
"TENM3-AS1"	2	3	4	2	0
"TENM3"	6	16	27	16	3
"AC079766.1"	1	0	0	1	0
"DCTD"	66	118	111	159	10
"WWC2-AS2"	0	5	1	0	0
"WWC2"	39	43	46	39	2
"WWC2-AS1"	0	0	0	0	0
"CLDN22"	1	0	2	0	0
"CDKN2AIP"	103	202	194	377	11
"AC107214.1"	0	2	3	6	0
"ING2"	96	184	172	247	9
"AC107214.2"	0	0	0	0	0
"RWDD4"	53	119	138	194	3
"TRAPPC11"	20	38	34	44	3
"STOX2"	13	47	53	79	4
"AC074194.1"	0	0	0	0	1
"ENPP6"	0	0	0	0	0
"LINC02363"	2	13	11	7	0
"LINC02362"	4	3	7	3	0
"IRF2"	80	203	190	197	12
"AC099343.2"	3	4	2	7	0
"AC099343.3"	17	20	9	31	0
"AC099343.4"	1	6	2	1	0
"LINC02427"	0	0	0	1	0
"CASP3"	63	93	132	109	1
"PRIMPOL"	15	19	36	26	1
"CENPU"	7	20	19	32	0
"ACSL1"	23	28	44	46	2
"AC084871.1"	1	2	0	1	0
"MIR3945HG"	0	1	0	0	0
"SLC25A4"	65	218	161	204	6
"CFAP97"	158	294	256	352	20
"SNX25"	14	12	25	30	4
"LRP2BP"	1	8	12	9	0
"ANKRD37"	141	231	250	360	13
"UFSP2"	65	185	114	182	10
"C4orf47"	2	6	3	2	0
"CCDC110"	2	4	4	2	0
"AC106897.1"	1	2	5	4	0
"PDLIM3"	7	18	14	17	3
"SORBS2"	12	21	38	43	1
"TLR3"	9	37	28	53	3
"FAM149A"	1	6	9	5	0
"CYP4V2"	13	29	21	42	1
"KLKB1"	0	0	2	1	0
"F11-AS1"	0	0	0	2	0
"MTNR1A"	0	0	0	0	0
"FAT1"	214	199	401	210	20
"AC107050.1"	0	0	0	0	0
"AC108865.2"	0	0	0	0	0
"AC110772.2"	1	3	2	1	0
"ZFP42"	5	0	20	5	0
"TRIML2"	24	28	52	73	0
"LINC02434"	0	0	0	0	0
"LINC01060"	3	3	5	4	0
"AC093909.4"	0	0	0	0	0
"AC107391.1"	4	2	1	0	0
"AF250324.1"	0	0	0	1	0
"FRG1-DT"	2	4	3	2	0
"FRG1"	118	257	259	298	12
"PLEKHG4B"	0	1	3	0	0
"CCDC127"	19	36	54	67	1
"SDHA"	75	133	125	164	7
"AC021087.1"	0	0	0	0	0
"PDCD6"	173	325	244	473	22
"AHRR"	0	0	0	0	0
"EXOC3-AS1"	6	17	9	21	0
"EXOC3"	35	57	83	64	2
"SLC9A3"	2	1	0	1	0
"SLC9A3-AS1"	11	19	25	7	2
"AC106772.2"	0	0	0	0	0
"CEP72"	17	19	33	38	1
"TPPP"	19	56	62	39	9
"AC026740.1"	0	0	0	1	0
"ZDHHC11B"	9	23	17	7	4
"AC026740.3"	2	1	0	1	0
"ZDHHC11"	4	10	6	0	0
"BRD9"	94	157	168	170	9
"TRIP13"	18	17	12	12	1
"AC122719.3"	1	7	9	4	0
"AC116351.1"	0	0	0	0	0
"AC116351.2"	2	1	4	2	0
"NKD2"	2	0	2	3	0
"SLC12A7"	4	21	29	20	6
"CLPTM1L"	74	112	99	169	4
"AC026748.3"	2	3	3	2	0
"LPCAT1"	7	18	12	29	1
"AC026412.3"	0	1	1	1	0
"MRPL36"	131	238	169	188	12
"NDUFS6"	247	532	458	945	21
"IRX4"	0	7	8	3	1
"AC124852.1"	17	55	31	29	1
"AC126768.1"	0	1	0	1	0
"LSINCT5"	3	3	2	4	0
"AC091891.1"	1	1	0	0	0
"IRX2"	81	131	161	171	1
"C5orf38"	40	93	83	87	2
"LINC01019"	0	0	0	0	0
"IRX1"	5	8	2	5	0
"AC025187.1"	0	0	0	0	0
"LINC02063"	0	0	0	0	0
"AC091978.1"	1	1	4	1	0
"ICE1"	61	80	77	100	5
"LINC02145"	0	0	2	2	0
"MED10"	224	376	370	397	21
"UBE2QL1"	1	3	8	8	2
"LINC01018"	0	1	0	0	0
