"lako1"	"lako2"	"lako3"	"lako4"
"ESRRG"	124	34	75	181
"GPATCH2"	543	241	218	666
"SPATA17"	11	8	4	30
"RRP15"	964	539	499	1181
"TGFB2-AS1"	10	2	2	8
"TGFB2"	233	62	40	214
"C1orf143"	1	0	0	0
"LYPLAL1-DT"	10	6	2	18
"LYPLAL1"	1205	578	562	1476
"AC096642.1"	9	4	2	19
"LYPLAL1-AS1"	2	1	1	6
"ZC3H11B"	15	7	17	18
"SLC30A10"	0	0	0	0
"EPRS"	984	418	435	1198
"BPNT1"	170	88	116	228
"IARS2"	727	334	395	964
"RAB3GAP2"	369	149	278	549
"MARK1"	133	128	173	309
"C1orf115"	3	8	10	17
"MARC2"	4	15	4	16
"MARC1"	12	6	2	12
"AL445423.1"	0	0	0	0
"HLX-AS1"	0	1	0	0
"HLX"	1	2	2	1
"LINC02817"	0	0	0	0
"DUSP10"	638	400	831	641
"LINC01655"	1	0	1	1
"LINC02257"	2	0	3	2
"LINC01705"	7	3	5	26
"AL356108.1"	64	9	8	57
"AL513314.2"	13	8	3	14
"HHIPL2"	10	10	14	26
"TAF1A"	126	32	77	114
"TAF1A-AS1"	70	62	54	92
"MIA3"	601	365	287	934
"AL592148.3"	16	22	22	77
"AIDA"	693	455	691	1352
"BROX"	759	395	544	1207
"FAM177B"	0	2	0	0
"AL392172.1"	49	59	67	132
"DISP1"	23	15	11	48
"AL929091.1"	0	2	0	1
"TLR5"	39	37	52	112
"SUSD4"	33	29	41	84
"CAPN8"	12	13	14	35
"CAPN2"	2554	1249	1696	3507
"TP53BP2"	618	738	1516	725
"AC138393.3"	1	1	0	4
"FBXO28"	274	149	184	337
"DEGS1"	700	918	737	1415
"AC092809.2"	1	1	1	1
"AC092809.4"	3	3	0	4
"NVL"	140	87	57	231
"CNIH4"	1474	819	808	2096
"WDR26"	885	543	1041	1458
"CNIH3"	45	31	33	62
"DNAH14"	140	45	47	131
"LBR"	304	130	166	408
"LINC02765"	1	0	2	3
"ENAH"	290	230	339	541
"SRP9"	2358	1981	2223	5211
"EPHX1"	1090	601	555	1302
"AL591895.1"	37	20	39	105
"TMEM63A"	174	87	105	562
"LEFTY1"	26	3	29	43
"PYCR2"	817	406	836	2041
"LEFTY2"	1	0	1	0
"SDE2"	430	220	262	369
"AL512343.2"	12	10	20	22
"H3F3A"	18514	12894	15447	33287
"LINC01703"	8	14	15	17
"ACBD3"	753	402	441	874
"ACBD3-AS1"	0	0	1	0
"MIXL1"	0	0	0	0
"LIN9"	57	26	28	134
"PARP1"	689	296	407	1177
"STUM"	0	0	0	1
"ITPKB"	30	29	59	100
"ITPKB-IT1"	0	0	0	0
"ITPKB-AS1"	0	5	1	2
"AL359732.1"	2	3	2	1
"PSEN2"	111	58	62	159
"COQ8A"	167	89	120	267
"CDC42BPA"	135	101	105	320
"LINC01641"	1	0	0	2
"ZNF678"	64	48	31	128
"SNAP47"	194	91	116	293
"JMJD4"	107	38	60	168
"AL731702.1"	28	22	23	26
"WNT9A"	88	139	198	174
"WNT3A"	33	33	30	66
"ARF1"	3289	1852	2035	4388
"C1orf35"	744	329	355	1070
"MRPL55"	822	554	504	1553
"GUK1"	4799	3062	3517	8446
"GJC2"	18	9	20	25
"IBA57-DT"	2	2	0	1
"IBA57"	53	33	32	95
"OBSCN-AS1"	29	34	32	93
"OBSCN"	231	154	138	814
"AL353593.1"	5	4	7	25
"AL353593.3"	5	1	3	7
"AL670729.3"	0	2	0	3
"TRIM11"	161	63	78	229
"TRIM17"	5	2	3	6
"HIST3H2A"	265	178	136	314
"HIST3H2BB"	23	10	4	14
"RNF187"	1029	511	581	1496
"RHOU"	1819	906	780	2704
"LINC02814"	0	0	0	0
"AL162595.2"	0	0	0	2
"AL162595.1"	117	34	30	125
"RAB4A"	3538	2780	3365	5567
"AL117350.1"	7	1	3	7
"CCSAP"	255	128	128	317
"ACTA1"	1	0	0	3
"NUP133"	189	98	110	306
"AL121990.1"	1	0	0	2
"ABCB10"	86	52	65	168
"TAF5L"	126	78	123	202
"URB2"	76	79	105	116
"LINC01736"	0	0	0	0
"GALNT2"	351	254	322	856
"PGBD5"	13	7	33	33
"COG2"	335	125	154	536
"AGT"	0	0	0	0
"C1orf198"	66	40	24	76
"AL118511.1"	1	2	0	1
"TTC13"	57	16	32	123
"ARV1"	463	224	199	647
"FAM89A"	210	102	130	260
"C1orf131"	487	232	261	833
"GNPAT"	298	178	139	482
"EXOC8"	99	68	101	163
"SPRTN"	437	160	230	537
"EGLN1"	428	268	271	816
"AL445524.1"	192	103	127	296
"TSNAX"	1092	605	752	1704
"DISC1"	5	4	15	16
"AL136171.2"	1	1	0	1
"SIPA1L2"	136	111	199	155
"MAP10"	21	7	8	41
"NTPCR"	676	415	416	988
"PCNX2"	130	52	66	177
"MAP3K21"	34	36	57	76
"KCNK1"	557	466	603	503
"AL357972.1"	1	1	2	2
"SLC35F3"	353	99	242	458
"AL122008.3"	7	0	4	11
"COA6-AS1"	131	163	144	204
"COA6"	813	407	314	880
"TARBP1"	150	74	80	309
"LINC01354"	0	1	0	2
"IRF2BP2"	853	1083	1626	1732
"AL160408.2"	2	1	8	3
"AL160408.1"	3	4	7	3
"AL160408.4"	0	2	2	2
"AL160408.3"	0	0	2	1
"LINC01132"	0	2	2	2
"AL391832.2"	0	1	1	2
"AL391832.3"	0	0	0	0
"LINC01348"	3	5	14	13
"AL732292.2"	12	5	2	14
"TOMM20"	4678	3632	3594	7581
"RBM34"	86	36	44	100
"ARID4B"	1668	976	1157	1900
"GGPS1"	504	361	384	734
"TBCE"	72	32	30	66
"AL357556.4"	1	2	4	1
"TBCE.1"	70	45	38	86
"B3GALNT2"	569	393	432	937
"GNG4"	4	4	6	5
"LYST"	667	524	962	693
"LINC02768"	2	2	1	0
"NID1"	21	10	33	26
"GPR137B"	184	125	195	300
"ERO1B"	120	186	240	366
"EDARADD"	62	45	78	183
"LGALS8"	409	337	430	712
"LGALS8-AS1"	5	0	2	3
"AL359921.2"	11	4	9	7
"AL359921.1"	2	5	2	1
"HEATR1"	267	147	171	363
"ACTN2"	7	3	2	3
"MTR"	395	263	336	633
"RYR2"	2	0	0	0
"ZP4"	0	0	0	0
"MTRNR2L11"	14	9	7	28
"LINC01139"	5	2	1	8
"AL359551.1"	5	0	2	7
"CHRM3"	9	5	3	12
"CHRM3-AS2"	3	7	2	5
"FMN2"	0	1	0	0
"GREM2"	3	0	0	4
"AL365184.2"	13	7	10	7
"AL365184.1"	0	0	0	0
"RGS7"	1	0	1	0
"AL359764.2"	1	0	2	5
"FH"	618	308	250	776
"KMO"	89	61	171	92
"OPN3"	180	127	181	231
"CHML"	270	109	161	233
"AL133390.1"	2	2	2	0
"WDR64"	0	0	0	1
"EXO1"	18	4	14	34
"MAP1LC3C"	0	1	0	0
"PLD5"	0	0	0	1
"AL591686.2"	2	0	1	0
"AL591686.1"	3	0	4	2
"CEP170"	195	106	131	277
"SDCCAG8"	639	360	408	945
"AKT3"	57	119	98	154
"AL662889.1"	0	0	0	0
"AKT3-IT1"	4	4	6	6
"ZBTB18"	69	41	25	88
"AL645465.1"	1	1	7	3
"ADSS"	1299	598	883	2079
"CATSPERE"	16	12	12	52
"DESI2"	462	280	347	565
"AL451007.3"	3	5	3	1
"AL451007.2"	2	0	0	2
"BX323046.2"	13	5	3	5
"COX20"	1574	1373	924	2290
"HNRNPU"	6032	2736	3645	6831
"BX323046.1"	8	1	5	13
"AL356512.1"	15	5	5	25
"EFCAB2"	86	102	54	205
"KIF26B"	37	23	9	33
"SMYD3"	172	141	144	248
"TFB2M"	405	145	217	457
"CNST"	251	99	124	263
"AL591623.1"	31	5	10	10
"AL591848.3"	0	1	0	1
"SCCPDH"	412	204	292	754
"LINC01341"	2	1	1	7
"AHCTF1"	575	303	379	758
"ZNF695"	19	2	7	15
"ZNF670"	62	56	121	122
"ZNF669"	124	68	113	125
"AL627095.2"	0	0	0	0
"C1orf229"	4	2	1	3
"ZNF124"	74	46	43	136
"AL390728.6"	62	74	69	189
"AL390728.5"	18	7	9	28
"ZNF496"	95	72	91	164
"AC104335.2"	0	1	3	1
"NLRP3"	12	2	2	6
"OR2C3"	0	0	0	0
"AL390860.1"	1	0	2	0
"TRIM58"	7	3	9	11
"OR2L2"	1	1	0	6
"SH3BP5L"	57	28	42	153
"ZNF672"	106	60	62	155
"ZNF692"	140	65	82	210
"PGBD2"	57	23	21	96
"FAM110C"	802	744	1271	1305
"SH3YL1"	1299	1036	1522	1382
"ACP1"	1692	1063	1070	2271
"ALKAL2"	6	19	30	11
"AC079779.2"	2	4	5	4
"AC093326.1"	6	0	1	1
"TMEM18"	453	464	498	1045
"AC092159.2"	1	2	0	0
"AC116609.3"	0	0	3	0
"LINC01115"	0	0	0	8
"SNTG2-AS1"	0	0	4	1
"SNTG2"	1	0	4	2
"TPO"	5	0	2	0
"AC144450.1"	8	1	7	6
"PXDN"	10	46	112	51
"MYT1L"	5	3	8	6
"LINC01250"	0	0	0	0
"EIPR1"	200	118	151	325
"TRAPPC12"	306	131	166	546
"TRAPPC12-AS1"	2	7	2	5
"AC114810.1"	1	0	0	0
"ADI1"	1938	1346	1360	3277
"AC231981.1"	32	10	10	29
"AC108488.1"	37	22	42	30
"RNASEH1"	354	195	237	486
"RNASEH1-AS1"	171	82	66	156
"AC108488.3"	22	17	12	41
"RPS7"	32517	30734	30081	57969
"COLEC11"	1	0	0	37
"ALLC"	0	0	0	0
"DCDC2C"	5	2	2	5
"AC108025.1"	1	6	0	4
"SOX11"	3	2	20	12
"SILC1"	6	1	4	7
"NRIR"	0	0	1	0
"CMPK2"	32	8	7	56
"RSAD2"	243	40	86	143
"AC017076.1"	0	0	1	2
"RNF144A-AS1"	10	6	5	9
"RNF144A"	107	46	59	129
"AC010904.2"	1	0	2	2
"AC013460.1"	0	0	1	4
"AC092580.4"	7	7	8	10
"LINC01871"	0	0	0	1
"LINC00299"	1	1	0	1
"LINC01814"	5	4	4	4
"ID2-AS1"	1	1	0	1
"ID2"	796	1390	1217	1639
"KIDINS220"	474	303	344	812
"MBOAT2"	53	24	39	47
"AC093904.4"	0	0	0	0
"ASAP2"	361	178	260	423
"ITGB1BP1"	761	487	358	1612
"CPSF3"	317	149	187	444
"IAH1"	580	532	711	980
"ADAM17"	905	519	977	1202
"AC073195.1"	49	19	13	32
"YWHAQ"	4741	2543	4372	5988
"AC082651.3"	2	3	0	2
"TAF1B"	331	189	224	511
"AC010969.2"	43	33	49	106
"AC010969.3"	0	0	0	1
"GRHL1"	387	121	153	275
"AC104794.3"	53	79	107	119
"KLF11"	521	432	372	498
"AC104794.5"	8	1	3	17
"CYS1"	289	128	133	493
"RRM2"	119	63	131	344
"AC007240.3"	2	1	0	2
"HPCAL1"	250	98	150	312
"ODC1"	886	1218	1111	1711
"ODC1-DT"	10	9	10	27
"NOL10"	352	205	225	428
"RN7SL832P"	20	3	8	29
"ATP6V1C2"	2	13	3	7
"AC092687.3"	13	3	5	19
"PDIA6"	2069	1360	1177	3352
"LINC01954"	0	0	0	0
"KCNF1"	3	2	0	0
"AC062028.1"	0	1	2	0
"C2orf50"	2	0	1	1
"SLC66A3"	414	203	270	723
"ROCK2"	593	379	423	1001
"LINC00570"	0	0	0	0
"AC099344.3"	1	1	0	2
"E2F6"	203	130	191	311
"GREB1"	3	2	1	4
"LPIN1"	368	287	309	419
"MIR3681HG"	2	0	3	0
"AC009486.2"	0	0	0	1
"AC009486.1"	0	1	0	0
"TRIB2"	36	65	64	96
"AC064875.1"	0	4	1	0
"LINC00276"	1	1	1	2
"LRATD1"	1193	244	726	1986
"NBAS"	145	75	107	227
"DDX1"	1286	636	769	2086
"MYCNOS"	0	0	0	0
"MYCN"	1	0	0	0
"FAM49A"	25	56	51	70
"RAD51AP2"	50	22	27	70
"VSNL1"	1934	648	1079	3392
"SMC6"	433	212	221	817
"GEN1"	185	63	93	276
"MSGN1"	2	1	1	0
"KCNS3"	132	118	103	355
"AC079148.1"	0	4	0	4
"RDH14"	339	159	187	586
"NT5C1B"	0	1	1	0
"LINC01376"	13	15	13	29
"OSR1"	2	0	0	1
"LINC00954"	0	3	4	6
"TTC32"	447	244	203	790
"AC013400.1"	7	4	3	5
"WDR35"	52	32	29	90
"AC079145.1"	9	3	3	5
"MATN3"	1	0	1	2
"LAPTM4A"	5729	3827	4275	8756
"LAPTM4A-DT"	0	2	1	5
"SDC1"	7502	2799	4148	11578
"PUM2"	680	454	746	1296
"RHOB"	2642	949	835	3882
"HS1BP3"	94	45	63	131
"AC012065.3"	0	0	1	0
"GDF7"	0	0	0	0
"AC012065.4"	0	3	1	9
"LDAH"	127	42	87	212
"AC018742.1"	4	10	0	4
"AC096570.1"	0	0	0	1
"KLHL29"	97	49	83	208
"AC011239.1"	0	0	0	0
"AC009242.1"	4	1	1	6
"ATAD2B"	298	150	239	503
"UBXN2A"	485	341	359	866
"MFSD2B"	3	3	4	4
"WDCP"	69	22	19	54
"FKBP1B"	275	151	193	458
"SF3B6"	4520	3299	3270	7072
"FAM228B"	124	101	84	175
"TP53I3"	1749	428	608	1934
"PFN4"	20	9	16	27
"FAM228A"	7	3	0	4
"AC008073.1"	1	1	0	1
"ITSN2"	550	356	369	777
"AC009228.1"	1	3	7	9
"NCOA1"	244	197	214	557
"PTRHD1"	812	695	610	1659
"CENPO"	12	9	11	57
"ADCY3"	55	35	26	101
"DNAJC27"	141	112	86	224
"DNAJC27-AS1"	57	76	70	118
"EFR3B"	1	3	3	1
"POMC"	35	37	27	102
"LINC01381"	3	0	3	0
"DNMT3A"	98	77	71	151
"AC012074.1"	1	4	0	0
"DTNB"	103	89	124	284
"ASXL2"	174	85	114	357
"KIF3C"	13	15	11	12
"RAB10"	1923	1243	1544	2529
"GAREM2"	4	7	4	3
"HADHA"	1102	622	854	1789
"HADHB"	896	609	694	1392
"AC010896.1"	13	14	25	37
"ADGRF3"	7	5	1	8
"SELENOI"	312	198	224	531
"KCNK3"	0	1	0	2
"SLC35F6"	228	135	179	567
"CENPA"	111	61	86	142
"DPYSL5"	1	0	0	0
"MAPRE3"	206	87	157	300
"AC013472.1"	3	0	0	1
"TMEM214"	210	89	127	332
"AGBL5"	40	45	42	89
"AC013472.3"	2	0	0	5
"AGBL5-IT1"	0	0	0	0
"AC013403.2"	2	4	3	5
"OST4"	4789	3904	4133	9202
"EMILIN1"	8	2	2	16
"KHK"	84	41	14	80
"CGREF1"	1	1	1	2
"ABHD1"	17	5	3	20
"PREB"	123	64	75	232
"TCF23"	94	15	16	39
"SLC5A6"	103	46	49	148
"ATRAID"	2176	1543	1456	3602
"CAD"	97	44	52	185
"SLC30A3"	0	0	2	1
"UCN"	20	4	7	22
"MPV17"	478	271	306	725
"GTF3C2"	212	105	136	325
"GTF3C2-AS1"	3	0	0	2
"AC074117.1"	24	15	14	34
"EIF2B4"	318	194	194	506
"SNX17"	791	429	555	1394
"ZNF513"	83	38	53	127
"PPM1G"	1659	650	697	1834
"NRBP1"	976	529	680	1641
"KRTCAP3"	720	433	354	1212
"IFT172"	119	113	120	237
"FNDC4"	24	15	25	36
"GCKR"	0	0	1	0
"C2orf16"	0	0	0	0
"ZNF512"	152	72	59	152
"CCDC121"	78	22	34	77
"GPN1"	356	209	267	436
"SUPT7L"	271	166	169	358
"SLC4A1AP"	439	193	218	578
"LINC01460"	6	2	0	4
"MRPL33"	11131	7199	7437	17680
"RBKS"	117	59	90	188
"BABAM2"	455	235	328	675
"AC093690.1"	26	24	50	72
"AC104695.2"	4	2	6	11
"FOSL2"	1293	1036	1314	2604
"AC104695.4"	149	61	73	244
"AC104695.3"	9	17	28	24
"PLB1"	21	19	15	20
"AC074011.1"	0	0	0	0
"AC092164.1"	41	25	20	55
"PPP1CB"	3069	2199	3560	4416
"SPDYA"	19	20	17	37
"AC097724.1"	8	4	0	6
"TRMT61B"	219	155	159	371
"WDR43"	1132	808	1053	1384
"TOGARAM2"	2	4	3	4
"PCARE"	2	1	0	1
"CLIP4"	545	297	285	844
"ALK"	5	0	3	5
"AC016907.2"	9	12	9	15
"YPEL5"	3605	2973	3399	6247
"LBH"	62	74	94	192
"LINC01936"	0	0	0	0
"LCLAT1"	131	63	87	278
"CAPN13"	2	10	4	38
"AC009301.1"	0	0	0	0
"GALNT14"	27	23	23	77
"CAPN14"	22	7	29	16
"EHD3"	90	100	63	189
"XDH"	512	233	792	1182
"SRD5A2"	1	0	0	1
"AL121652.1"	7	0	10	10
"MEMO1"	98	73	148	196
"DPY30"	1172	1002	992	2277
"AL121655.1"	4	5	7	20
"SPAST"	262	95	82	379
"AL121658.1"	27	13	11	38
"SLC30A6"	168	87	107	303
"YIPF4"	720	424	510	1162
"AL133245.1"	5	9	8	16
"BIRC6"	551	389	404	1140
"BIRC6-AS1"	2	0	0	0
"AL133243.2"	29	36	21	53
"AL133243.3"	59	47	41	151
"AL133243.1"	1	1	2	3
"TTC27"	134	69	73	158
"LTBP1"	228	62	261	514
"AC019127.1"	0	1	1	2
"RASGRP3"	55	31	114	82
"FAM98A"	347	109	132	459
"AC017050.1"	0	1	1	1
"LINC01320"	1	0	2	1
"AC008170.1"	0	0	0	1
"AC079352.1"	1	1	0	1
"AC019064.1"	2	3	1	3
"CRIM1-DT"	422	329	355	596
"CRIM1"	1756	1285	2392	3303
"AC007378.1"	2	1	1	0
"FEZ2"	570	363	326	835
"VIT"	980	688	786	2210
"STRN"	597	305	462	786
"HEATR5B"	156	95	129	310
"GPATCH11"	231	118	117	358
"EIF2AK2"	667	343	391	1109
"CEBPZOS"	591	473	558	1058
"CEBPZ"	1185	966	984	1837
"AC007390.2"	65	44	24	68
"NDUFAF7"	239	117	114	270
"PRKD3"	341	286	275	620
"AC007391.1"	3	0	1	1
"QPCT"	45	54	42	87
"CDC42EP3"	349	191	277	274
"LINC00211"	0	0	0	0
"RMDN2"	85	57	54	143
"CYP1B1"	14	8	27	31
"CYP1B1-AS1"	2	4	3	1
"ATL2"	510	288	403	680
"LINC02613"	29	12	9	35
"AC016995.1"	0	0	2	0
"HNRNPLL"	262	177	189	483
"GALM"	250	108	87	205
"SRSF7"	5462	3180	3460	6334
"GEMIN6"	300	141	108	428
"DHX57"	154	54	73	235
"MORN2"	299	217	197	526
"ARHGEF33"	6	9	9	16
"AC019171.1"	6	2	0	4
"SOS1"	271	166	249	565
"SOS1-IT1"	4	7	4	6
"CDKL4"	1	3	4	2
"MAP4K3"	253	135	174	343
"AC007684.2"	2	3	6	5
"MAP4K3-DT"	191	135	175	382
"TMEM178A"	6	0	4	8
"THUMPD2"	386	157	158	497
"SLC8A1-AS1"	17	21	57	203
"SLC8A1"	10	3	3	7
"AC007877.1"	0	0	0	0
"AC007317.1"	1	0	0	0
"AC007317.2"	6	0	0	0
"LINC01794"	5	0	2	1
"LINC01914"	0	1	0	1
"C2orf91"	0	0	0	1
"PKDCC"	3	1	2	4
"AC083949.1"	1	0	0	0
"EML4"	875	441	631	1151
"COX7A2L"	2728	2641	3376	5248
"KCNG3"	60	30	39	71
"MTA3"	366	160	220	438
"OXER1"	1	6	1	9
"HAAO"	3	4	3	12
"LINC01819"	0	0	0	0
"LINC02580"	6	3	4	7
"AC010883.3"	6	4	11	17
"ZFP36L2"	3024	3136	2571	6512
"LINC01126"	3	2	0	1
"AC010883.1"	8	15	8	40
"THADA"	163	90	101	347
"PLEKHH2"	164	105	121	192
"C1GALT1C1L"	12	10	8	16
"DYNC2LI1"	251	201	227	467
"ABCG8"	3	4	1	2
"LRPPRC"	717	430	576	1103
"AC019129.2"	7	2	3	7
"PPM1B"	461	242	334	630
"SLC3A1"	1	1	2	4
"PREPL"	295	159	216	500
"CAMKMT"	132	58	77	175
"LINC01833"	0	0	0	0
"SIX3-AS1"	1	1	1	0
"SIX3"	2	2	5	0
"SIX2"	39	26	31	67
"AC093702.1"	5	3	4	3
"LINC01121"	0	0	0	0
"AC009236.1"	3	1	2	4
"SRBD1"	177	75	81	247
"PRKCE"	60	54	49	102
"EPAS1"	1729	1620	1507	3870
"LINC02583"	2	0	3	0
"ATP6V1E2"	152	110	78	251
"RHOQ"	340	317	356	472
"AC018682.1"	1	3	1	2
"PIGF"	670	406	338	988
"CRIPT"	773	546	639	1264
"LINC01118"	3	2	1	7
"SOCS5"	204	102	167	323
"LINC01119"	2	0	1	9
"AC016722.1"	0	0	0	0
"AC016722.2"	8	1	5	2
"MCFD2"	672	459	456	1064
"TTC7A"	114	80	98	255
"AC073283.1"	1	0	0	5
"CALM2"	8552	7504	9029	15694
"EPCAM-DT"	0	0	0	0
"EPCAM"	69	57	40	105
"MSH2"	188	109	117	375
"KCNK12"	1	2	1	1
"MSH6"	369	197	222	534
"FBXO11"	472	366	721	677
"AC079807.1"	24	13	19	33
"AC092650.1"	10	1	1	5
"FOXN2"	131	50	90	113
"AC093635.1"	12	10	2	18
"PPP1R21"	158	121	111	286
"STON1"	146	132	114	414
"AC009975.1"	0	2	3	0
"AC009975.2"	0	1	0	3
"NRXN1"	4	2	1	6
"AC007682.1"	0	0	0	0
"AC010967.1"	2	0	0	0
"ASB3"	208	130	180	355
"CHAC2"	29	12	16	57
"ERLEC1"	827	410	389	1198
"GPR75"	1	4	12	5
"PSME4"	1008	721	1286	1685
"ACYP2"	493	349	386	835
"AC008280.3"	7	7	8	23
"C2orf73"	8	19	3	15
"SPTBN1"	613	586	758	1337
"AC092839.1"	2	0	0	0
"AC093110.1"	1	2	5	0
"EML6"	22	20	35	107
"RTN4"	5596	4813	7553	7917
"CLHC1"	70	46	47	141
"RPS27A"	37961	40599	44389	78175
"MTIF2"	334	149	151	517
"AC012358.3"	59	35	51	80
"CCDC88A"	176	189	187	327
"CFAP36"	646	523	430	832
"PPP4R3B"	650	373	405	991
"AC015982.2"	59	57	48	123
"PNPT1"	351	187	222	515
"EFEMP1"	1128	807	929	1306
"AC011306.1"	12	8	3	14
"AC007743.1"	2	0	0	1
"CCDC85A"	6	1	3	6
"AC132153.1"	2	0	1	2
"VRK2"	233	135	157	331
"AC068193.1"	5	6	2	8
"FANCL"	157	87	81	264
"AC007250.1"	1	2	1	0
"LINC01122"	18	18	19	29
"AC007381.1"	1	1	1	0
"BCL11A"	345	365	393	1036
"PAPOLG"	125	71	103	181
"LINC01185"	1	0	1	0
"REL"	1324	1153	1652	1786
"PUS10"	115	39	50	132
"PEX13"	662	411	407	679
"KIAA1841"	29	11	12	56
"AC016747.1"	127	45	59	108
"C2orf74"	574	342	274	665
"AC016747.2"	1	0	0	1
"USP34"	742	553	577	1420
"AC016747.3"	1	0	0	1
"AC016727.1"	33	21	16	34
"XPO1"	862	389	515	1378
"AC016727.3"	2	1	0	6
"FAM161A"	197	96	69	283
"CCT4"	3109	1293	1272	2677
"AC107081.2"	16	7	6	5
"AC107081.4"	5	2	0	0
"COMMD1"	751	540	435	1261
"B3GNT2"	399	200	267	355
"AC093159.1"	3	2	23	3
"TMEM17"	65	40	44	83
"EHBP1"	399	286	347	680
"AC007098.1"	21	29	44	84
"OTX1"	312	363	309	861
"AC009501.3"	257	134	102	369
"WDPCP"	100	132	138	277
"MDH1"	2322	1352	1540	3465
"UGP2"	1360	984	1327	2318
"VPS54"	172	122	115	295
"AC012368.2"	3	1	2	6
"PELI1"	1088	845	1446	1291
"AC012368.1"	46	26	18	53
"LINC00309"	10	13	13	56
"LGALSL-DT"	21	9	14	25
"LGALSL"	2648	2260	2240	3537
"LINC01805"	13	6	6	16
"AC008074.2"	14	11	9	30
"AFTPH"	532	422	665	909
"LINC02579"	0	0	0	0
"SERTAD2"	408	390	436	612
"AC007365.1"	10	5	3	6
"LINC02245"	52	35	35	67
"SLC1A4"	183	186	215	330
"LINC02576"	3	0	5	1
"CEP68"	160	154	156	332
"RAB1A"	1771	1155	1831	2547
"ACTR2"	1995	1123	1411	2955
"SPRED2"	226	201	324	394
"AC012370.1"	13	7	5	18
"AC007389.1"	11	2	10	18
"AC007389.3"	0	2	0	1
"AC007389.5"	25	10	14	37
"AC118345.1"	0	2	0	0
"LINC01873"	66	35	61	54
"MEIS1-AS3"	1	0	1	0
"MEIS1"	515	371	497	1166
"MEIS1-AS2"	56	54	38	111
"LINC01797"	0	0	0	1
"LINC01828"	27	21	105	27
"LINC01829"	4	9	9	10
"ETAA1"	273	136	191	531
"AC007422.1"	1	2	4	6
"LINC01812"	0	7	3	2
"C1D"	1027	559	865	1625
"WDR92"	168	70	74	232
"PNO1"	460	391	425	530
"PPP3R1"	334	227	277	621
"AC017083.2"	14	7	12	9
"AC017083.1"	45	17	7	32
"CNRIP1"	12	7	10	8
"PLEK"	1	1	1	1
"FBXO48"	110	44	78	150
"APLF"	75	41	31	83
"ARHGAP25"	25	12	18	23
"ANTXR1"	201	93	181	511
"AC114802.1"	0	0	0	0
"GFPT1"	351	209	277	564
"NFU1"	388	274	188	592
"AAK1"	885	628	654	1237
"ANXA4"	839	548	620	1611
"GMCL1"	315	142	174	568
"SNRNP27"	536	510	519	1077
"MXD1"	1040	249	407	585
"ASPRV1"	6	0	3	10
"PCBP1-AS1"	311	233	184	483
"PCBP1"	4442	2284	2833	5319
"LINC01816"	8	7	7	13
"C2orf42"	59	17	31	116
"TIA1"	548	298	287	1004
"PCYOX1"	1003	592	774	1820
"SNRPG"	4229	2957	3020	7859
"FAM136A"	635	301	321	1033
"AC022201.2"	0	1	1	0
"TGFA"	183	104	166	215
"ADD2"	0	0	1	0
"CLEC4F"	0	0	0	1
"CD207"	0	0	0	0
"VAX2"	0	2	1	1
"ATP6V1B1"	0	0	0	1
"ANKRD53"	0	2	3	1
"TEX261"	238	107	147	302
"NAGK"	636	296	315	1094
"AC007881.3"	16	6	3	9
"MCEE"	310	142	187	511
"MPHOSPH10"	927	397	373	1015
"PAIP2B"	148	67	73	195
"ZNF638"	841	433	531	1273
"AC007878.1"	14	7	9	28
"DYSF"	3	7	2	13
"CYP26B1"	44	5	27	119
"EXOC6B"	398	196	239	499
"SPR"	134	79	59	188
"SFXN5"	63	34	38	136
"RAB11FIP5"	145	139	136	206
"AC010913.1"	78	48	78	138
"SMYD5"	88	45	47	140
"PRADC1"	322	130	127	429
"CCT7"	1891	912	901	2336
"FBXO41"	8	6	9	12
"EGR4"	19	42	33	174
"ALMS1"	79	49	42	198
"ALMS1-IT1"	5	8	2	15
"AC074008.1"	2	2	3	5
"TPRKB"	902	572	631	1480
"AC092653.1"	2	0	2	0
"DUSP11"	625	353	427	845
"AC073046.4"	3	1	0	4
"STAMBP"	490	254	326	834
"ACTG2"	9	12	12	14
"DGUOK"	1766	1143	1281	2989
"DGUOK-AS1"	539	270	170	940
"AC073046.1"	3	1	0	2
"TET3"	147	112	135	249
"AC073263.1"	1	1	2	11
"BOLA3"	883	759	569	1551
"BOLA3-AS1"	14	9	9	17
"MOB1A"	2427	1400	1870	3781
"AC073263.2"	2	2	3	1
"MTHFD2"	654	305	469	800
"SLC4A5"	14	10	11	36
"DCTN1"	240	149	195	457
"C2orf81"	31	15	24	71
"AC005041.4"	10	12	15	33
"WDR54"	650	415	482	930
"RTKN"	188	121	226	325
"INO80B"	230	156	196	321
"WBP1"	317	311	300	684
"MOGS"	279	120	150	377
"AC005041.5"	10	5	11	22
"MRPL53"	63	60	52	107
"CCDC142"	28	18	26	65
"TTC31"	128	53	62	198
"LBX2"	5	0	3	3
"AC005041.3"	1	0	0	0
"LBX2-AS1"	8	0	2	3
"PCGF1"	172	67	85	174
"TLX2"	0	0	0	1
"DQX1"	40	17	17	45
"AUP1"	986	549	625	1477
"HTRA2"	250	114	141	349
"LOXL3"	1	1	0	1
"DOK1"	8	4	5	6
"M1AP"	2	0	1	1
"SEMA4F"	10	8	16	38
"AC007387.2"	2	0	0	0
"AC019069.1"	12	3	2	12
"HK2"	171	50	138	160
